,ten_truyen,duong_dan,luot_xem,xep_hang,danh_gia,theo_doi,binh_luan,tap_moi
0,TÔI TỎ TÌNH VỚI KẺ THÙ CỦA TÔI,https://www.nettruyenin.com/truyen-tranh/toi-to-tinh-voi-ke-thu-cua-toi-66962,49.635,3.5,130,5.019,87,Chapter 10
1,THÁI TỬ XIN ĐỪNG GIEO CHO TA HY VỌNG,https://www.nettruyenin.com/truyen-tranh/thai-tu-xin-dung-gieo-cho-ta-hy-vong-66304,76.142,3.5,130,3.586,33,Chapter 11
2,THĂNG CẤP CÙNG THẦN,https://www.nettruyenin.com/truyen-tranh/thang-cap-cung-than-454404,6.140.283,3.8,7443,91.112,4.169,Chapter 61
3,TANTEI NO TANTEI,https://www.nettruyenin.com/truyen-tranh/tantei-no-tantei-64631,62.480,3.5,107,2.795,89,Chapter 22
4,VUA ĐÓNG CỌC,https://www.nettruyenin.com/truyen-tranh/vua-dong-coc-499770,647.241,3.6,953,17.088,949,Chapter 28
5,PHÒNG GYM HANLIM,https://www.nettruyenin.com/truyen-tranh/phong-gym-hanlim-486540,218.492,3.5,257,3.326,166,Chapter 104
6,TÔI ĐÃ CƯỚP MẤT ĐÊM ĐẦU TIÊN CỦA NAM CHÍNH,https://www.nettruyenin.com/truyen-tranh/toi-da-cuop-mat-dem-dau-tien-cua-nam-chinh-323185,10.110.810,4.1,11893,65.797,4.006,Chapter 104
7,KIMI NO OKASAN O BOKU NI KUDASAI!,https://www.nettruyenin.com/truyen-tranh/kimi-no-okasan-o-boku-ni-kudasai-253690,155.139,3.6,207,3.436,182,Chapter 13
8,ANH TRAI TÔI QUÁ HIỀN LÀNH LÀM TÔI LO LẮNG GHÊ,https://www.nettruyenin.com/truyen-tranh/anh-trai-toi-qua-hien-lanh-lam-toi-lo-lang-ghe-66532,486.275,3.5,692,12.257,287,Chapter 44
9,LAZY DUNGEON MASTER,https://www.nettruyenin.com/truyen-tranh/lazy-dungeon-master-166540,207.852,3.6,327,7.339,392,Chapter 26
10,KISHUKU GAKKOU NO JULIET,https://www.nettruyenin.com/truyen-tranh/kishuku-gakkou-no-juliet-151520,8.609.407,4.5,10030,19.029,6.201,Chapter 120
11,XIN NGÀI ĐỪNG ĂN TÔI.,https://www.nettruyenin.com/truyen-tranh/xin-ngai-dung-an-toi-397170,2.143.804,3.7,2820,26.976,340,Chapter 58
12,CÔ CÔNG CHÚA NHỎ CỦA KẺ PHẢN DIỆN,https://www.nettruyenin.com/truyen-tranh/co-cong-chua-nho-cua-ke-phan-dien-64640,1.264.608,3.7,1866,32.247,972,Chapter 25
13,HATENKOU YUUGI,https://www.nettruyenin.com/truyen-tranh/hatenkou-yuugi-54630,11.537,3.5,15,215,16,Chapter 18
14,TÁI SINH THÀNH NHỆN,https://www.nettruyenin.com/truyen-tranh/tai-sinh-thanh-nhen-116580,16.223.649,4.3,18371,64.464,8.177,Chapter 121
15,TINH QUANG LỘNG LẪY: CHỌN SẾP LÀM CHỒNG,https://www.nettruyenin.com/truyen-tranh/tinh-quang-long-lay-chon-sep-lam-chong-581090,6.348.029,3.7,7108,43.918,997,Chapter 137
16,ONNA NO KO GA H-NA MANGA EGAICHA DAME DESUKA,https://www.nettruyenin.com/truyen-tranh/onna-no-ko-ga-h-na-manga-egaicha-dame-desuka-135350,169.500,3.5,257,3.722,99,Chapter 20
17,THÁNH DIỀU ĐEN,https://www.nettruyenin.com/truyen-tranh/thanh-dieu-den-66865,11.318,3.5,23,1.746,84,Chapter 1.5
18,VƯƠNG BÀI NGỰ SỬ,https://www.nettruyenin.com/truyen-tranh/vuong-bai-ngu-su-44770,1.092.037,3.5,1235,6.606,323,Chapter 84: Người Được Chọn !
19,BÀ NỘI OTAKU,https://www.nettruyenin.com/truyen-tranh/ba-noi-otaku-66855,21.631,3.5,33,821,81,Chapter 5
20,NIN KOI,https://www.nettruyenin.com/truyen-tranh/nin-koi-203760,131.122,3.6,190,2.161,87,Chapter 29
21,CÔNG CHÚA GÁC MÁI,https://www.nettruyenin.com/truyen-tranh/cong-chua-gac-mai-64013,664.288,3.5,812,11.066,639,Chapter 37
